original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family
Consolida raveyi,3925556,3928091,Consolida raveyi (Boiss.) Schrödinger,Plantae,Delphinium,Delphinium raveyi,3928091,Ranunculaceae
Gentiana turkestanorum,3839614,3839508,Gentiana turkestanorum Gand.,Plantae,Gentianella,Gentianella turkestanorum,3839508,Gentianaceae
Gracilaria vermiculophylla,5278964,,Gracilaria vermiculophylla (Ohmi) Papenfuss,Plantae,Gracilaria,Gracilaria vermiculophylla,5278964,Gracilariaceae
Lactuca canadensis,3140315,,Lactuca canadensis L.,Plantae,Lactuca,Lactuca canadensis,3140315,Asteraceae
Vaccinium membranaceum,9060377,,Vaccinium membranaceum Douglas ex Hook.,Plantae,Vaccinium,Vaccinium membranaceum,9060377,Ericaceae
Aeonium urbicum,7333984,,Aeonium urbicum (C.Sm. ex Hornem.) Webb & Berthel.,Plantae,Aeonium,Aeonium urbicum,7333984,Crassulaceae
Vernoniopsis caudata,3127450,,Vernoniopsis caudata (Drake) Humbert,Plantae,Vernoniopsis,Vernoniopsis caudata,3127450,Asteraceae
Eriocaulon spp.,2690243,,Eriocaulon L.,Plantae,Eriocaulon,spp.,2690243,Eriocaulaceae
Loeseliastrum depressum,4056163,,Loeseliastrum depressum (M.E.Jones ex A.Gray) J.M.Porter & L.A.Johnson,Plantae,Loeseliastrum,Loeseliastrum depressum,4056163,Polemoniaceae
Porella cordaeana,5710210,,Porella cordaeana (Huebener) Moore,Plantae,Porella,Porella cordaeana,5710210,Porellaceae
Aloe scabrifolia,2777365,,Aloe scabrifolia L.E.Newton & Lavranos,Plantae,Aloe,Aloe scabrifolia,2777365,Asphodelaceae
Pyracantha angustifolia,2988222,,Pyracantha angustifolia (Franch.) C.K.Schneid.,Plantae,Pyracantha,Pyracantha angustifolia,2988222,Rosaceae
Shepherdia canadensis,5372427,,Shepherdia canadensis (L.) Nutt.,Plantae,Shepherdia,Shepherdia canadensis,5372427,Elaeagnaceae
Asarum asperum var. geaster,3589094,,Asarum asperum var. geaster (F.Maek. ex Akasawa) T.Sugaw.,Plantae,Asarum,Asarum asperum,3589094,Aristolochiaceae
Crotalaria brevidens,2942220,,Crotalaria brevidens Benth.,Plantae,Crotalaria,Crotalaria brevidens,2942220,Fabaceae
Crotalaria breviflora,2941772,,Crotalaria breviflora DC.,Plantae,Crotalaria,Crotalaria breviflora,2941772,Fabaceae
Crotalaria incana,2942375,,Crotalaria incana L.,Plantae,Crotalaria,Crotalaria incana,2942375,Fabaceae
Crotalaria naragutensis,2942473,,Crotalaria naragutensis Hutch.,Plantae,Crotalaria,Crotalaria naragutensis,2942473,Fabaceae
Crotalaria tetragona,2942157,,Crotalaria tetragona Roxb. ex Andrews,Plantae,Crotalaria,Crotalaria tetragona,2942157,Fabaceae
Dorobaea pimpinellifolia,3151233,,Dorobaea pimpinellifolia (Kunth) B.Nord.,Plantae,Dorobaea,Dorobaea pimpinellifolia,3151233,Asteraceae
Emilia javanica,5401600,,Emilia javanica (Burm.fil.) C.B.Rob.,Plantae,Emilia,Emilia javanica,5401600,Asteraceae
Ficus erecta,5571945,,Ficus erecta Thunb.,Plantae,Ficus,Ficus erecta,5571945,Moraceae
Fordia cauliflora,5350420,,Fordia cauliflora Hemsl.,Plantae,Fordia,Fordia cauliflora,5350420,Fabaceae
Jacobaea cilicia,5388623,,Jacobaea cilicia (Boiss.) B.Nord.,Plantae,Jacobaea,Jacobaea cilicia,5388623,Asteraceae
Lotononis azurea,2945438,,Lotononis azurea Benth.,Plantae,Lotononis,Lotononis azurea,2945438,Fabaceae
Lotononis brevicaulis,2945225,,Lotononis brevicaulis B.-E.van Wyk,Plantae,Lotononis,Lotononis brevicaulis,2945225,Fabaceae
Lotononis caerulescens,2945227,,Lotononis caerulescens (E.Mey.) B.-E.van Wyk,Plantae,Lotononis,Lotononis caerulescens,2945227,Fabaceae
Lotononis elongata,2945439,,Lotononis elongata (Thunb.) D.Dietr.,Plantae,Lotononis,Lotononis elongata,2945439,Fabaceae
Lotononis lotononoides,2945325,,Lotononis lotononoides (Scott Elliot) B.-E.van Wyk,Plantae,Lotononis,Lotononis lotononoides,2945325,Fabaceae
Lotononis pulchella,2945273,,Lotononis pulchella (E.Mey.) B.-E.van Wyk,Plantae,Lotononis,Lotononis pulchella,2945273,Fabaceae
Lotononis purpurascens,2945277,,Lotononis purpurascens B.-E.vanWyk,Plantae,Lotononis,Lotononis purpurascens,2945277,Fabaceae
Lotononis rigida,2945411,,Lotononis rigida (E.Mey.) Benth.,Plantae,Lotononis,Lotononis rigida,2945411,Fabaceae
Lotononis sericophylla,2945385,,Lotononis sericophylla Benth.,Plantae,Lotononis,Lotononis sericophylla,2945385,Fabaceae
Lotononis trichodes,2945376,,Lotononis trichodes (E.Mey.) B.-E.van Wyk,Plantae,Lotononis,Lotononis trichodes,2945376,Fabaceae
Packera multilobata,8042589,,Packera multilobata (Torr. & A.Gray ex A.Gray) W.A.Weber & Á.Löve,Plantae,Packera,Packera multilobata,8042589,Asteraceae
Phacelia ixodes,2928189,,Phacelia ixodes Kellogg,Plantae,Phacelia,Phacelia ixodes,2928189,Hydrophyllaceae
Sagotia racemosa,5377870,,Sagotia racemosa Baill.,Plantae,Sagotia,Sagotia racemosa,5377870,Euphorbiaceae
Schizogyne glaberrima,3089828,,Schizogyne glaberrima DC.,Plantae,Schizogyne,Schizogyne glaberrima,3089828,Asteraceae
Senecio cisplatinus,3108718,,Senecio cisplatinus Cabrera,Plantae,Senecio,Senecio cisplatinus,3108718,Asteraceae
Senecio covasii,3107475,,Senecio covasii Cabrera,Plantae,Senecio,Senecio covasii,3107475,Asteraceae
Senecio fabrisii,3107139,,Senecio fabrisii Cabrera,Plantae,Senecio,Senecio fabrisii,3107139,Asteraceae
Senecio heterotrichius,3107775,,Senecio heterotrichius DC.,Plantae,Senecio,Senecio heterotrichius,3107775,Asteraceae
Senecio heterotrichus,4933574,,Senecio heterotrichus DC.,Plantae,Senecio,Senecio heterotrichus,4933574,Asteraceae
Senecio hualtaranensis,3107834,,"Senecio hualtaranensis Peten., Ariza & Del Vitto",Plantae,Senecio,Senecio hualtaranensis,3107834,Asteraceae
Senecio jacalensis,10990012,,Senecio jacalensis Greenm.,Plantae,Senecio,Senecio jacalensis,10990012,Asteraceae
Senecio leucostachys,3107798,,Senecio leucostachys Baker,Plantae,Senecio,Senecio leucostachys,3107798,Asteraceae
Senecio longibolus,3106952,,Senecio longipilus I.Thomps.,Plantae,Senecio,Senecio longipilus,3106952,Asteraceae
Senecio madrensis,3107965,,Senecio madrensis A.Gray,Plantae,Senecio,Senecio madrensis,3107965,Asteraceae
Senecio malacitanus,6064174,,Senecio malacitanus Huter,Plantae,Senecio,Senecio malacitanus,6064174,Asteraceae
Senecio pampeanus,3106949,,Senecio pampeanus Cabrera,Plantae,Senecio,Senecio pampeanus,3106949,Asteraceae
Senecio prionopterus,3108656,,Senecio prionopterus B.L.Rob. & Greenm.,Plantae,Senecio,Senecio prionopterus,3108656,Asteraceae
Senecio ragonesei,3107274,,Senecio ragonesei Cabrera,Plantae,Senecio,Senecio ragonesei,3107274,Asteraceae
Synotis cappa,5402653,,Synotis cappa (Buch.-Ham. ex D.Don) C.Jeffrey & Y.L.Chen,Plantae,Synotis,Synotis cappa,5402653,Asteraceae
Plocamium telfairiae,5278608,,"Plocamium telfairiae (W.J.Hooker & Harvey) Harvey ex Kütz., 1849",Plantae,Plocamium,Plocamium telfairiae,5278608,Plocamiaceae
Crotalaria lanceolata,2941820,,Crotalaria lanceolata E.Mey.,Plantae,Crotalaria,Crotalaria lanceolata,2941820,Fabaceae
Crotalaria spartioides,2942696,,Crotalaria spartioides DC.,Plantae,Crotalaria,Crotalaria spartioides,2942696,Fabaceae
Senecio glandulosus,7740391,,Senecio glandulosus D.Don ex Hook. & Arn.,Plantae,Senecio,Senecio glandulosus,7740391,Asteraceae
Senecio grisebachii,3107977,,Senecio grisebachii Baker,Plantae,Senecio,Senecio grisebachii,3107977,Asteraceae
