inchi_key,cids
PEFNSGRTCBGNAN-BVPMPBNFSA-N,44258067.0
UXGHAQBYGNOSGC-KKZWRQOJSA-N,163058816.0
CDEBGVXOFDWUAF-BBBLOLIVSA-N,124355567.0
VABRUGUZACORME-HJPIBITLSA-N,182936.0
VCBBBBBZESNDRG-LMXXTMHSSA-N,162816927.0
WSYMNFBVLKNIMC-WTEXXDOFSA-N,
CJJPJFRZSIBSFV-PHYWWMGLSA-N,162817015.0
OMXXTPLHUKBYKI-UHFFFAOYSA-N,
IQMLHWWIJFLVSI-PCXMGVGZSA-N,162848801.0
NAQPIPBICQLKDS-UHFFFAOYSA-N,
YFVGIJBUXMQFOF-PJOVQGMDSA-N,5317025.0
BOYYQYRAKVYWCI-WCRLOTECSA-N,44144277.0
LCBPWXREKZBHEY-UHFFFAOYSA-N,
VNBMZYMOCSKNSW-FAMUBBHOSA-N,101985983.0
JYKQJAUWHLNCIH-BQYQJAHWSA-N,
ZUAKUAWNULTIIU-JHDCTFEASA-N,163031397.0
GJKOHPVGPSJEOI-CTAUWDMSSA-N,162817533.0
LYUMKSDIGKNADO-AIBPSTIFSA-N,101905275.0
NCBNYFAKBWFMMC-DEHLKIDDSA-N,162821381.0
OPGJIRGRIDHFPI-KYLBNMPHSA-N,163010567.0
MEGXIWDJXDYORB-ODCYSEDMSA-N,162878702.0
GAIBLDCXCZKKJE-RXJOXMPGSA-N,5317570.0
LVLLXACEPRSSHZ-NNBZZZFMSA-N,
UUFSKGRWZUFEKE-VOTSOKGWSA-N,122180596.0
QOGNEZKTQHDWEZ-SORDWFMASA-N,
UEGOATROGDUXGQ-IXZKVKMXSA-N,162891864.0
QKGJFQMGPDVOQE-HWKANZROSA-N,6433206.0
JBJXGXTVNLBXHY-YVFQKMDQSA-N,10612769.0
RAZOKRUZEQERLH-UHFFFAOYSA-N,10321.0
KVGHRSAHESCTFR-PDCCCBJGSA-N,21633857.0
ZAPNUFCAIXITRW-CDUHWDNDSA-N,101297613.0
LHIPKJMQYMTREZ-AIBZYFRHSA-N,101995840.0
IBGBGRVKPALMCQ-UHFFFAOYSA-N,8768.0
WGBLBVXSYGYVPN-VQDQNZKNSA-N,52952013.0
RKNUEEMZJSUPGY-PBVVMKELSA-N,118727883.0
JOOXAORQPJVGRF-UHFFFAOYSA-N,85843697.0
NQFQJZXPCAHOPD-DHMALTNQSA-N,10735323.0
VHBFFQKBGNRLFZ-UHFFFAOYSA-N,10680.0
GZCGUPFRVQAUEE-SLPGGIOYSA-N,107526.0
LIKYNOPXHGPMIH-UHFFFAOYSA-N,10231.0
QXNWVJOHUAQHLM-AZUAARDMSA-N,442027.0
QXOXUEFXRSIYSW-UHFFFAOYSA-N,4056967.0
LLQCRTZROWMVOL-DYDIJXKYSA-N,10499.0
HRPKYCPCIPYAQZ-NYMDYPQTSA-N,
CYTMELDNMYVTKB-UHFFFAOYSA-N,46916752.0
ZCOLJUOHXJRHDI-VVWFOWEGSA-N,44257273.0
VRTQHEPVVCLRMQ-UHFFFAOYSA-N,5315558.0
JOXXHKHYJZQZDC-BISWWVLVSA-N,
AFFLGGQVNFXPEV-UHFFFAOYSA-N,13381.0
RFRUYYQMUJRBAN-XJACDZHHSA-N,162994645.0
FIORWCFTHSBGPM-WLTLOEPXSA-N,
RXDHJTUMDKQLEV-NDHNYZRRSA-N,14830745.0
OSZKLCHRZDFWDF-YUASBYGJSA-N,101758883.0
ZSYPWSSGRVZENH-UHFFFAOYSA-N,14704457.0
IFYYFLINQYPWGJ-SECBINFHSA-N,183870.0
XCYJPXQACVEIOS-UHFFFAOYSA-N,10812.0
WHXSAEDTQLTZPH-UHFFFAOYSA-N,60201020.0
HPOHAUWWDDPHRS-ZJUUUORDSA-N,85568.0
BOMWVAKQUBXACV-XWEMRBTHSA-N,
KLZMKXANTDISDA-UHFFFAOYSA-N,10015025.0
