original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key
Chuquiraga parviflora,3109538,,Chuquiraga parviflora (Griseb.) Hieron.,Plantae,Chuquiraga,parviflora,3109538
Circaea lutetiana,3188794,,Circaea lutetiana L.,Plantae,Circaea,lutetiana,3188794
Clematis terniflora,3033546,,Clematis terniflora DC.,Plantae,Clematis,terniflora,3033546
Clibadium glabrescens,3104809,,Clibadium glabrescens S.F.Blake,Plantae,Clibadium,glabrescens,3104809
Clibadium laxum,3104805,,Clibadium laxum S.F.Blake,Plantae,Clibadium,laxum,3104805
Clibadium microcephalum,3104834,,Clibadium microcephalum S.F.Blake,Plantae,Clibadium,microcephalum,3104834
Clibadium pentaneuron,3104826,,Clibadium pentaneuron S.F.Blake,Plantae,Clibadium,pentaneuron,3104826
Clibadium spp.,3104738,,Clibadium F.Allam. ex L.,Plantae,Clibadium,spp.,3104738
Clibadium surinamense,3104771,,Clibadium surinamense L.,Plantae,Clibadium,surinamense,3104771
Clibadium terebinthinaceum,3104835,,Clibadium terebinthinaceum (Sw.) DC.,Plantae,Clibadium,terebinthinaceum,3104835
Coreopsis auriculata,3133965,,Coreopsis auriculata L.,Plantae,Coreopsis,auriculata,3133965
Coreopsis basalis,3133967,,Coreopsis basalis (Otto & A.Dietr.) S.F.Blake,Plantae,Coreopsis,basalis,3133967
Coreopsis intermedia,3133922,,Coreopsis intermedia Sherff,Plantae,Coreopsis,intermedia,3133922
Coreopsis nuecensis,3133925,,Coreopsis nuecensis A.Heller,Plantae,Coreopsis,nuecensis,3133925
